"Codigo","Edad","Empleado","Estado Civil","Ocupacion","Genero","Horas por semana","Pais"
177,39,"Publico-Nacional","Soltero","Personal administrativo","Male",40,"United-States"
277,50,"Independiente","Casado","Ejecutivo y Gerencial","Male",13,"United-States"
377,38,"Privado","Divorciado","Personal de aseo","Male",40,"United-States"
477,53,"Privado","Casado","Personal de aseo","Male",40,"United-States"
677,37,"Privado","Casado","Ejecutivo y Gerencial","Female",40,"United-States"
877,52,"Independiente","Casado","Ejecutivo y Gerencial","Male",45,"United-States"
977,31,"Privado","Soltero","Personal especializado","Female",50,"United-States"
1077,42,"Privado","Casado","Ejecutivo y Gerencial","Male",40,"United-States"
1177,37,"Privado","Casado","Ejecutivo y Gerencial","Male",80,"United-States"
1377,23,"Privado","Soltero","Personal administrativo","Female",30,"United-States"
1477,32,"Privado","Soltero","Ventas","Male",50,"United-States"
1777,25,"Independiente","Soltero","Agricultura","Male",35,"United-States"
1877,32,"Privado","Soltero","Personal de inspeccion ","Male",40,"United-States"
1977,38,"Privado","Casado","Ventas","Male",50,"United-States"
2077,43,"Independiente","Divorciado","Ejecutivo y Gerencial","Female",45,"United-States"
2177,40,"Privado","Casado","Personal especializado","Male",60,"United-States"
2277,54,"Privado","Separado","Servicios generales","Female",20,"United-States"
2377,35,"Publico-Departamental","Casado","Agricultura","Male",40,"United-States"
2477,43,"Privado","Casado","Transporte","Male",40,"United-States"
2577,59,"Privado","Divorciado","Apoyo técnico","Female",40,"United-States"
2677,56,"Publico-Municipal","Casado","Apoyo técnico","Male",40,"United-States"
2777,19,"Privado","Soltero","Mantenimiento y Reparaciones generales","Male",40,"United-States"
2977,39,"Privado","Divorciado","Ejecutivo y Gerencial","Male",80,"United-States"
3077,49,"Privado","Casado","Mantenimiento y Reparaciones generales","Male",40,"United-States"
3177,23,"Publico-Municipal","Soltero","Servicios de Telecomunicaciones","Male",52,"United-States"
3277,20,"Privado","Soltero","Ventas","Male",44,"United-States"
3377,45,"Privado","Divorciado","Ejecutivo y Gerencial","Male",40,"United-States"
