Codigo;Edad;Empleado;Estado Civil;Ocupacion;Genero;Horas por semana;Pais
577;28;Privado;Casado;Personal especializado;Femenino;40;Cuba
777;49;Privado;Casado;Servicios generales;Femenino;16;Jamaica
1277;30;Publico-Nacional;Casado;Personal especializado;Masculino;40;India
1577;40;Privado;Casado;Mantenimiento y Reparaciones generales;Masculino;40; 
1677;34;Privado;Casado;Transporte;Masculino;45;Mexico
2877;54;;Casado;;Masculino;60;España
3677;48;Privado;Soltero;Personal de inspeccion ;Masculino;40;Puerto Rico
3977;31;Privado;Casado;Ventas;Masculino;38; 
5277;18;Privado;Soltero;Servicios generales;Femenino;30; 
5377;47;Privado;Casado;Personal especializado;Femenino;60;Honduras
5777;46;Privado;Casado;Personal de inspeccion ;Masculino;40;Mexico
5877;35;Privado;Casado;Servicios generales;Masculino;40;Puerto Rico
6277;32;;Casado;;Masculino;40; 
7677;27;Privado;Soltero;Servicios generales;Masculino;40;Mexico
8277;52;Privado;Casado;Servicios generales;Masculino;40;Cuba
9477;30;Privado;Casado;Ventas;Femenino;35; 
9977;48;Privado;Divorciado;Ejecutivo y Gerencial;Femenino;40;Inglaterra
11377;56;Independiente;Casado;Servicios generales;Masculino;50;Canada
13677;38;Publico-Departamental;Casado;Personal especializado;Masculino;40;Iran
14377;19;Privado;Soltero;Servicios generales;Masculino;30;Mexico
15177;47;Publico-Municipal;Divorciado;Personal administrativo;Femenino;38;Mexico
15377;33;Privado;Soltero;Ejecutivo y Gerencial;Femenino;40;Filipinas
16477;28;Privado;Soltero;Ejecutivo y Gerencial;Femenino;40;Inglaterra
16677;36;Privado;Divorciado;Servicios generales;Femenino;40;Mexico
18477;40;Privado;Casado;Personal de inspeccion ;Masculino;40;Mexico
19677;23;Privado;Casado;Transporte;Masculino;40;Mexico
20277;19;;Soltero;;Masculino;40;Italia
21877;38;Privado;Casado;Ventas;Masculino;50;Polonia
22977;75;Privado;Viudo;Personal administrativo;Femenino;20;Colombia
23877;41;Privado;Casado;Ejecutivo y Gerencial;Masculino;50;Iran
24677;56;Privado;Casado;Personal administrativo;Masculino;35; 
25077;45;Privado;Casado;Personal administrativo;Masculino;40; 
25677;42;Independiente;Casado;Agricultura;Masculino;40;Cambodia
26677;37;Independiente;Casado;Ejecutivo y Gerencial;Masculino;75;Tailandia
26777;19;;Soltero;;Masculino;24;Canada
29077;50;Privado;Casado;Mantenimiento y Reparaciones generales;Masculino;40;Ecuador
29877;39;;Casado;;Femenino;40; 
30577;24;Privado;Casado;Personal administrativo;Femenino;40;Mexico
31277;34;Privado;Casado;Ejecutivo y Gerencial;Masculino;35;España
31877;22;Privado;Casado;Personal de inspeccion ;Femenino;40;Mexico
33677;17;Privado;Soltero;Servicios generales;Masculino;48;Mexico
33977;19;Privado;Soltero;Ventas;Masculino;30;Haiti
34977;56;Privado;Casado;Servicios generales;Masculino;25;Iran
36077;26;Independiente;Casado;Mantenimiento y Reparaciones generales;Masculino;40;Portugal
39477;34;Publico-Nacional;Casado;Ejecutivo y Gerencial;Masculino;45; 
40577;28;Privado;Casado;Personal de aseo;Masculino;40;Puerto Rico
41777;52;Privado;Casado;Personal de inspeccion ;Masculino;40;Mexico
42877;23;Privado;Soltero;Personal de aseo;Masculino;72;Republica Dominicana
43577;27;Privado;Soltero;Mantenimiento y Reparaciones generales;Masculino;40;Filipinas
44577;27;Privado;Soltero;Mantenimiento y Reparaciones generales;Masculino;40;Mexico
45477;42;Privado;Casado;Ejecutivo y Gerencial;Masculino;40; 
48177;33;Privado;Casado;Mantenimiento y Reparaciones generales;Masculino;45;Portugal
49877;23;Privado;Soltero;Servicios generales;Masculino;40;EL Salvador
50177;23;Publico-Municipal;Soltero;Agricultura;Masculino;40;Polonia
50477;58;Privado;Divorciado;Servicios generales;Femenino;42;Francia
53177;44;Privado;Divorciado;Personal de inspeccion ;Femenino;46;Puerto Rico
55877;31;Privado;Separado;Personal administrativo;Femenino;20; 
56077;30;Privado;Casado;Servicios generales;Masculino;40;Mexico
56877;45;Privado;Separado;Servicios generales;Femenino;40;Mexico
59477;31;Privado;Casado;Personal especializado;Masculino;40;Canada
62577;47;Privado;Casado;Personal de aseo;Masculino;40;EL Salvador
63977;47;Independiente;Casado;Transporte;Masculino;50;Cuba
65377;35;Privado;Casado;Personal especializado;Masculino;40;España
65677;29;Publico-Nacional;Soltero;Personal administrativo;Femenino;40;Filipinas
66977;20;;Casado;;Femenino;40;España
67877;32;Privado;Casado;Personal administrativo;Masculino;40;Mexico
68277;37;Privado;Casado;Mantenimiento y Reparaciones generales;Masculino;40;Portugal
68977;41;Privado;Soltero;Ejecutivo y Gerencial;Masculino;35;Republica Dominicana
69977;30;Privado;Soltero;Personal especializado;Femenino;40;Polonia
70277;31;Privado;Viudo;Ventas;Femenino;40;Cuba
70777;40;Privado;Casado;Servicios generales;Masculino;40;Jamaica
71377;36;Privado;Separado;Personal especializado;Masculino;40; 
71577;36;Publico-Municipal;Divorciado;Personal administrativo;Femenino;35;Honduras
72677;43;Privado;Soltero;Personal especializado;Masculino;40; 
72977;31;Privado;Casado;Servicios generales;Masculino;40;Mexico
73077;65;Independiente;Casado;Ejecutivo y Gerencial;Masculino;59; 
74977;29;Privado;Soltero;Mantenimiento y Reparaciones generales;Masculino;40;Haiti
76377;34;Publico-Municipal;Divorciado;Servicios de Telecomunicaciones;Masculino;40;Portugal
77277;37;Privado;Separado;Agricultura;Masculino;32;Guatemala
77877;34;Privado;Casado;Personal especializado;Masculino;40; 
78177;43;Publico-Nacional;Casado;Mantenimiento y Reparaciones generales;Masculino;40; 
80077;43;Privado;Casado;Ejecutivo y Gerencial;Masculino;40;Inglaterra
81677;47;Independiente;Casado;Servicios generales;Femenino;75;Italia
86277;43;Privado;Casado;Agricultura;Masculino;40;Mexico
87477;51;Independiente;Casado;Ventas;Masculino;40;China
88277;32;Privado;Casado;Personal administrativo;Masculino;40;Filipinas
88877;33;Independiente;Casado;Mantenimiento y Reparaciones generales;Masculino;60; 
89377;28;Privado;Casado;Personal administrativo;Femenino;40;India
91777;43;Privado;Casado;Personal especializado;Femenino;50;España
92377;42;Privado;Casado;Personal de inspeccion ;Femenino;38;Mexico
93077;33;Privado;Casado;Personal de seguridad;Femenino;40;Guatemala
93477;23;Privado;Casado;Personal administrativo;Femenino;40;Mexico
95677;41;Privado;Casado;Mantenimiento y Reparaciones generales;Masculino;30; 
96377;32;Privado;Casado;Mantenimiento y Reparaciones generales;Masculino;70;Mexico
96977;48;Privado;Casado;Ejecutivo y Gerencial;Masculino;40;India
102177;41;Privado;Soltero;Mantenimiento y Reparaciones generales;Masculino;50;Japon
102677;56;Privado;Casado;Servicios generales;Masculino;50;Yugoslavia
102777;30;Privado;Soltero;Personal especializado;Masculino;45; 
